lon,lat,date,month,sst_c,presence
-27.339613352465236,-5.128263975589903,2019-04-15,4.0,29.424866,0
-29.623262874396357,-18.69840491725502,2019-04-15,4.0,28.665466,0
-55.45848641421894,28.074890601041368,2019-11-15,11.0,26.206726,0
-52.706445818701255,13.903698802254667,2019-01-15,1.0,26.019226,0
-32.78484822950034,-26.986888074857124,2019-02-15,2.0,27.744202,0
-15.538091599166108,9.577262173105233,2019-03-15,3.0,25.073578,0
-41.25140278330283,10.381554257125842,2019-07-15,7.0,27.256226,0
-40.68089767556795,20.47135560115865,2019-12-15,12.0,25.364227,0
-31.66222881052409,11.56284441478855,2019-03-15,3.0,24.275848,0
-18.89732994300863,-15.53583647526125,2019-12-15,12.0,24.6622,0
-58.323564588741,16.715891014851422,2019-04-15,4.0,26.43869,0
-23.84966774641324,-5.06742211806996,2019-02-15,2.0,28.497803,0
-24.68585831230306,22.591621235675227,2019-09-15,9.0,25.616272,0
-25.346953472847034,6.161797404753415,2019-02-15,2.0,27.155426,0
-10.13023737045598,4.661237719310989,2019-09-15,9.0,27.018097,0
-13.751146481817905,-21.820441468680478,2019-11-15,11.0,23.312317,0
-28.99053055269986,5.849760302706912,2019-01-15,1.0,27.800446,0
-25.233177385198857,-24.19764877782016,2019-06-15,6.0,23.490479,0
-40.14604128366502,8.82940355641523,2019-11-15,11.0,27.969696,0
-20.376619657654338,-28.964523388151694,2019-10-15,10.0,20.008514,0
-38.60373455958869,6.5138279208013685,2019-04-15,4.0,26.843323,0
-36.687271235075094,28.321877130255743,2019-09-15,9.0,27.313019,0
-32.16898144889507,16.42189005073034,2019-04-15,4.0,23.417969,0
-20.784038535148937,17.01315860468712,2019-03-15,3.0,21.43811,0
-26.263474955991455,-15.518968547695149,2019-04-15,4.0,28.006714,0
-37.769443054677126,4.034952317462661,2019-02-15,2.0,27.56665,0
-50.25076653391957,20.08014617098133,2019-11-15,11.0,27.584076,0
-23.98429606055319,5.852935374920733,2019-09-15,9.0,27.878723,0
-25.20467308887971,13.77087487786153,2019-12-15,12.0,24.979431,0
-17.08026853471887,27.01280073438103,2019-02-15,2.0,19.557037,0
-37.23154050495742,4.459231990549441,2019-05-15,5.0,27.763245,0
-28.43729583139654,27.180944261521752,2019-12-15,12.0,22.849304,0
-21.85052001976657,26.367300007794455,2019-10-15,10.0,24.137695,0
-30.46572572320612,23.328632984115124,2019-02-15,2.0,22.267944,0
-48.13055586589175,18.816500016049908,2019-08-15,8.0,27.555634,0
-32.39878696954933,-3.0153701675079674,2019-04-15,4.0,29.411865,0
-16.364125330961294,10.424074745521366,2019-04-15,4.0,23.771576,0
-13.658626362706322,-17.875320684017563,2019-03-15,3.0,26.482819,0
-40.26716402315806,5.015213113495648,2019-08-15,8.0,28.204132,0
-37.71080257634331,18.060010838369877,2019-02-15,2.0,23.874603,0
-29.015541253963697,7.854875076344612,2019-10-15,10.0,29.004242,0
-12.035674585371076,-28.289570705712983,2019-08-15,8.0,20.09851,0
-26.047761645607466,-12.021378535502425,2019-02-15,2.0,27.422668,0
-38.051160967509134,10.89729854334216,2019-08-15,8.0,27.77591,0
-22.230235915800655,-13.096222677219519,2019-12-15,12.0,25.42157,0
